Active Ingredient,SMILES
CLOMIPHENE CITRATE,CCN(CC)CCOc1ccc(cc1)\C(=C(Cl)\c2ccccc2)c3ccccc3.OC(=O)CC(O)(CC(O)=O)C(O)=O
NORGESTIMATE,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(/CC[C@H]34)=N/O)[C@@H]1CC[C@@]2(OC(C)=O)C#C
CONIVAPTAN HYDROCHLORIDE,[H+].[Cl-].Cc1[nH]c2CCN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3)c6ccccc6c2n1
EPOPROSTENOL SODIUM,[Na+].CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@@H]2OC(/C[C@H]12)=C\CCCC([O-])=O
NAFCILLIN SODIUM,O.[Na+].CCOc1ccc2ccccc2c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C([O-])=O
DELAVIRDINE MESYLATE,CC(C)Nc1cccnc1N2CCN(CC2)C(=O)c3[nH]c4ccc(N[S](C)(=O)=O)cc4c3.C[S](O)(=O)=O
AMBENONIUM CHLORIDE,[Cl-].[Cl-].CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc2ccccc2Cl
DEFEROXAMINE MESYLATE,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.C[S](O)(=O)=O
BUCLIZINE HYDROCHLORIDE,[H+].[H+].[Cl-].[Cl-].CC(C)(C)c1ccc(CN2CCN(CC2)C(c3ccccc3)c4ccc(Cl)cc4)cc1
PERINDOPRIL ERBUMINE,CCC[C@H](N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(O)=O)C(=O)OCC.CC(C)(C)N
NEBIVOLOL HYDROCHLORIDE,[Cl-].O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]3CCc4cc(F)ccc4O3.[H+]
TOREMIFENE CITRATE,CN(C)CCOc1ccc(cc1)\C(=C(\CCCl)c2ccccc2)c3ccccc3.OC(=O)CC(O)(CC(O)=O)C(O)=O
QUETIAPINE FUMARATE,OCCOCCN1CCN(CC1)C2=Nc3ccccc3Sc4ccccc24.OC(=O)\C=C\C(O)=O.OC(=O)\C=C\C(O)=O
CEFUROXIME AXETIL,CO/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)OC(C)OC(C)=O)COC(N)=O)/c3occc3
TOLTERODINE TARTRATE,CC(C)N(CC[C@@H](c1ccccc1)c2cc(C)ccc2O)C(C)C.O[C@H]([C@@H](O)C(O)=O)C(O)=O
OXACILLIN SODIUM,[Na+].Cc1onc(c2ccccc2)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C([O-])=O
CABERGOLINE,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N(CC=C)C1
OLMESARTAN MEDOXOMIL,CCCc1nc(c(n1Cc2ccc(cc2)c3ccccc3c4n[nH]nn4)C(=O)OCC5=C(C)OC(=O)O5)C(C)(C)O
BIMATOPROST,CCNC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\[C@@H](O)CCc2ccccc2
LATANOPROST,CC(C)OC(=O)CCC/C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCc2ccccc2
BALSALAZIDE DISODIUM,O.O.[Na+].[Na+].[O-]C(=O)CCNC(=O)c1ccc(N\N=C/2C=CC(=O)C(=C2)C([O-])=O)cc1
FEXOFENADINE HYDROCHLORIDE,[H+].[Cl-].CC(C)(C(O)=O)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
TESTOSTERONE UNDECANOATE,CCCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
HETACILLIN POTASSIUM,[K+].CC1(C)S[C@@H]2C(N3C(=O)[C@H](NC3(C)C)c4ccccc4)C(=O)N2[C@H]1C([O-])=O
ALBUTEROL SULFATE,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1.CC(C)(C)NCC(O)c2ccc(O)c(CO)c2.O[S](O)(=O)=O
METOPROLOL FUMARATE,COCCc1ccc(OCC(O)CNC(C)C)cc1.COCCc2ccc(OCC(O)CNC(C)C)cc2.OC(=O)\C=C/C(O)=O
LACTITOL,OC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)C(O)[C@H]1O)[C@H](O)CO
PREDNISONE,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO
TAMOXIFEN CITRATE,CC/C(c1ccccc1)=C(c2ccccc2)/c3ccc(OCCN(C)C)cc3.OC(=O)CC(O)(CC(O)=O)C(O)=O
MITOXANTRONE HYDROCHLORIDE,[H+].[H+].[Cl-].[Cl-].OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12
TRANDOLAPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2[C@H]3CCCC[C@@H]3C[C@H]2C(O)=O
BITOLTEROL MESYLATE,Cc1ccc(cc1)C(=O)Oc2ccc(cc2OC(=O)c3ccc(C)cc3)C(O)CNC(C)(C)C.C[S](O)(=O)=O
MORPHINE SULFATE,CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4O)c35.O[S](O)(=O)=O
SPIRAPRIL HYDROCHLORIDE,[Cl-].CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)C2CC3(CC2C(O)=O)SCCS3.[H+]
CANDESARTAN CILEXETIL,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc4ccc(cc4)c5ccccc5c6n[nH]nn6
NALMEFENE HYDROCHLORIDE,[Cl-].Oc1ccc2C[C@H]3N(CC[C@@]45[C@@H](Oc1c24)C(=C)CC[C@@]35O)CC6CC6.[H+]
LEVOCABASTINE HYDROCHLORIDE,[Cl-].C[C@@H]1CN(CC[C@]1(C(O)=O)c2ccccc2)C3CCC(CC3)(C#N)c4ccc(F)cc4.[H+]
TOPOTECAN HYDROCHLORIDE,[Cl-].CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(CN(C)C)c(O)ccc5nc34)C2=O.[H+]
CEFUROXIME SODIUM,[Na+].CO\N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)COC(N)=O)\c3occc3
NALTREXONE HYDROCHLORIDE,[Cl-].Oc1ccc2C[C@H]3N(CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O)CC6CC6.[H+]
AMOXICILLIN,O.O.O.CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(O)=O
PENTAMIDINE ISETHIONATE,NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(N)=N)cc1.OCC[S](O)(=O)=O.OCC[S](O)(=O)=O
ESTROPIPATE,C[C@]12CC[C@H]3[C@@H](CCc4cc(O[S](O)(=O)=O)ccc34)[C@@H]1CCC2=O.C5CNCCN5
FESOTERODINE FUMARATE,CC(C)N(CC[C@H](c1ccccc1)c2cc(CO)ccc2OC(=O)C(C)C)C(C)C.OC(=O)\C=C\C(O)=O
METHYLNALTREXONE BROMIDE,[Br-].C[N+]1(CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)CCC4=O)c35)CC6CC6
ZAFIRLUKAST,COc1cc(ccc1Cc2cn(C)c3ccc(NC(=O)OC4CCCC4)cc23)C(=O)N[S](=O)(=O)c5ccccc5C
NANDROLONE DECANOATE,CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C
METHICILLIN SODIUM,O.[Na+].COc1cccc(OC)c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C([O-])=O
GANAXOLONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C
CEPHALEXIN HYDROCHLORIDE,O.[Cl-].CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)C(O)=O.[H+]
METRIZAMIDE,CN(C(C)=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)NC2[C@@H](O)OC(CO)[C@@H](O)C2O)c1I
FLUOXYMESTERONE,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C
CALCIFEDIOL,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)CCC3=C
NEDOCROMIL SODIUM,[Na+].[Na+].CCCc1c2OC(=CC(=O)c2cc3C(=O)C=C(N(CC)c13)C([O-])=O)C([O-])=O
OXYMETHOLONE,C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC(=O)C(/C[C@]4(C)[C@H]3CC[C@]12C)=C\O
NALOXONE HYDROCHLORIDE,[Cl-].Oc1ccc2C[C@H]3N(CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O)CC=C.[H+]
TOCOPHEROL ACETATE,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(OC(C)=O)c(C)c(C)c2O1
METOPROLOL SUCCINATE,COCCc1ccc(OCC(O)CNC(C)C)cc1.COCCc2ccc(OCC(O)CNC(C)C)cc2.OC(=O)CCC(O)=O
RAMIPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(O)=O
ESTETROL,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1[C@@H](O)[C@@H](O)[C@@H]2O
HETACILLIN,CC1(C)N[C@@H](C(=O)N1[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c4ccccc4
TAFENOQUINE SUCCINATE,COc1cc(C)c2c(Oc3cccc(c3)C(F)(F)F)c(OC)cc(NC(C)CCCN)c2n1.OC(=O)CCC(O)=O
COLESEVELAM HYDROCHLORIDE,[H+].[Cl-].[Cl-].CCCCCCCCCCNCC=C.C[N+](C)(C)CCCCCCNCC=C.NCC=C.ClCC1CO1
ARTEMETHER,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
INDIGOTINDISULFONATE SODIUM,[Na+].O[S](=O)(=O)c1ccc2NC(/C(=O)c2c1)=C/3Nc4ccc(cc4C3=O)[S](O)(=O)=O
SITAGLIPTIN PHOSPHATE,O.N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3cc(F)c(F)cc3F.O[P](O)(O)=O
KETOCONAZOLE,CC(=O)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
ISOPROTERENOL SULFATE,O.O.CC(C)NCC(O)c1ccc(O)c(O)c1.CC(C)NCC(O)c2ccc(O)c(O)c2.O[S](O)(=O)=O
FLUVASTATIN SODIUM,[Na+].CC(C)n1c2ccccc2c(c3ccc(F)cc3)c1\C=C\[C@H](O)C[C@H](O)CC([O-])=O
EPHEDRINE SULFATE,CN[C@@H](C)[C@H](O)c1ccccc1.CN[C@@H](C)[C@H](O)c2ccccc2.O[S](O)(=O)=O
CEPHALOGLYCIN,O.O.CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)C(O)=O
MECLIZINE HYDROCHLORIDE,[H+].[H+].O.[Cl-].[Cl-].Cc1cccc(CN2CCN(CC2)C(c3ccccc3)c4ccc(Cl)cc4)c1
PROBUCOL,CC(C)(C)c1cc(SC(C)(C)Sc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C
SUFENTANIL CITRATE,CCC(=O)N(c1ccccc1)C2(CCN(CCc3sccc3)CC2)COC.OC(=O)CC(O)(CC(O)=O)C(O)=O
SULFOXONE SODIUM,[Na+].[Na+].[O-][S](=O)CNc1ccc(cc1)[S](=O)(=O)c2ccc(NC[S]([O-])=O)cc2
LOPERAMIDE HYDROCHLORIDE,[H+].[Cl-].CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4
LONAFARNIB,NC(=O)N1CCC(CC1)CC(=O)N2CCC(CC2)[C@H]3c4ncc(Br)cc4CCc5cc(Cl)cc(Br)c35
AZATADINE MALEATE,CN1CCC(CC1)=C2c3ccccc3CCc4cccnc24.OC(=O)\C=C/C(O)=O.OC(=O)\C=C/C(O)=O
CHOLECALCIFEROL,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3/C[C@@H](O)CCC3=C
RALTEGRAVIR POTASSIUM,[K+].CN1[C-](N=C(C(=O)NCc2ccc(F)cc2)C(=O)C1=O)C(C)(C)NC(=O)c3oc(C)nn3
TESTOSTERONE ENANTHATE,CCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
ETONOGESTREL,CC[C@]12CC(=C)[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
DILTIAZEM HYDROCHLORIDE,[Cl-].COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O.[H+]
CEFPROZIL,O.C/C=C/C1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(O)=O
ESTRADIOL CYPIONATE,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2OC(=O)CCC5CCCC5
FLUPHENAZINE HYDROCHLORIDE,[H+].[H+].[Cl-].[Cl-].OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1
NORELGESTROMIN,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(/CC[C@H]34)=N/O)[C@@H]1CC[C@@]2(O)C#C
AMLODIPINE BESYLATE,CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C.O[S](=O)(=O)c3ccccc3
SAPROPTERIN DIHYDROCHLORIDE,[Cl-].[Cl-].C[C@H](O)[C@H](O)[C@H]1CNC2=C(N1)C(=O)N=C(N)N2.[H+].[H+]
ORLISTAT,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O
GADODIAMIDE,O.[Gd+3].CNC(=O)CN(CCN(CCN(CC([O-])=O)CC(=O)NC)CC([O-])=O)CC([O-])=O
IVABRADINE HYDROCHLORIDE,[Cl-].COc1cc2CCN(CCCN(C)C[C@H]3Cc4cc(OC)c(OC)cc34)C(=O)Cc2cc1OC.[H+]
TOBRAMYCIN SULFATE,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O.O[S](O)(=O)=O
CEPHAPIRIN SODIUM,[Na+].CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CSc3ccncc3)C2=O)C([O-])=O
OXYCODONE HYDROCHLORIDE,[Cl-].COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O.[H+]
TERCONAZOLE,CC(C)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4cncn4)(O3)c5ccc(Cl)cc5Cl)cc2
ZOLPIDEM TARTRATE,CN(C)C(=O)Cc1n2cc(C)ccc2nc1c3ccc(C)cc3.O[C@H]([C@@H](O)C(O)=O)C(O)=O
BEPOTASTINE BESILATE,OC(=O)CCCN1CCC(CC1)O[C@H](c2ccc(Cl)cc2)c3ccccn3.O[S](=O)(=O)c4ccccc4
PAZOPANIB HYDROCHLORIDE,[H+].[Cl-].Cn1nc2cc(ccc2c1C)N(C)c3ccnc(Nc4ccc(C)c(c4)[S](N)(=O)=O)n3
SITAGLIPTIN,N[C@@H](CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc3cc(F)c(F)cc3F.O[P](O)(O)=O
NORETHINDRONE ACETATE,CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C
VILAZODONE HYDROCHLORIDE,[H+].[Cl-].NC(=O)c1oc2ccc(cc2c1)N3CCN(CCCCc4c[nH]c5ccc(cc45)C#N)CC3
CEFMETAZOLE SODIUM,[Na+].CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(=C(N2C1=O)C([O-])=O)CSc3nnnn3C
HYDROMORPHONE HYDROCHLORIDE,[Cl-].CN1CC[C@@]23[C@H]4CCC(=O)[C@@H]2Oc5c(O)ccc(C[C@@H]14)c35.[H+]
TIROFIBAN HYDROCHLORIDE,O.[Cl-].CCCC[S](=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(O)=O.[H+]
TREPROSTINIL,CCCCC[C@@H](O)CC[C@@H]1[C@@H](O)C[C@H]2Cc3c(C[C@@H]12)cccc3OCC(O)=O
CEFOXITIN SODIUM,[Na+].CO[C@]1(NC(=O)Cc2sccc2)[C@H]3SCC(=C(N3C1=O)C([O-])=O)COC(N)=O
REGADENOSON,CNC(=O)c1cnn(c1)c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2
PODOFILOX,COc1cc(cc(OC)c1OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](O)c4cc5OCOc5cc24
DARIFENACIN HYDROBROMIDE,[Br-].NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c4ccccc4)c5ccccc5.[H+]
BENAZEPRIL HYDROCHLORIDE,[Cl-].CCOC(=O)[C@H](CCc1ccccc1)N[C@H]2CCc3ccccc3N(CC(O)=O)C2=O.[H+]
CEFIXIME,Nc1scc(n1)\C(=N\OCC(O)=O)C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(O)=O)C=C
ALVIMOPAN,O.O.C[C@H]1CN(CC[C@@]1(C)c2cccc(O)c2)C[C@H](Cc3ccccc3)C(=O)NCC(O)=O
POLYESTRADIOL PHOSPHATE,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O.O[P](O)(O)=O
LEVOPROPOXYPHENE NAPSYLATE ANHYDROUS,CCC(=O)OC(Cc1ccccc1)(C(C)CN(C)C)c2ccccc2.O[S](=O)(=O)c3ccc4ccccc4c3
METHOTREXATE SODIUM,[Na+].CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)NC(CCC([O-])=O)C(O)=O
BETHANIDINE SULFATE,C[NH2+]C(NCc1ccccc1)=NC.C[NH2+]C(NCc2ccccc2)=NC.[O-][S]([O-])(=O)=O
STANOZOLOL,C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4Cc5[nH]ncc5C[C@]4(C)[C@H]3CC[C@]12C
EDETATE CALCIUM DISODIUM,[Na+].[Na+].[Ca++].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O
PRALATREXATE,Nc1nc(N)c2nc(CC(CC#C)c3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)cnc2n1
MITOMYCIN,CO[C@@]12[C@H](COC(N)=O)C3=C(N1C[C@@H]4N[C@H]24)C(=O)C(=C(N)C3=O)C
CHLORAMPHENICOL SODIUM SUCCINATE,[Na+].OC(C(COC(=O)CCC([O-])=O)NC(=O)C(Cl)Cl)c1ccc(cc1)[N+]([O-])=O
CEFORANIDE,NCc1ccccc1CC(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(O)=O)CSc4nnnn4CC(O)=O
TRIFLUOPERAZINE HYDROCHLORIDE,[H+].[H+].[Cl-].[Cl-].CN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1
DANAZOL,C[C@]12Cc3cnoc3C=C1CC[C@@H]4[C@@H]2CC[C@@]5(C)[C@H]4CC[C@@]5(O)C#C
LISDEXAMFETAMINE DIMESYLATE,C[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCCN.C[S](O)(=O)=O.C[S](O)(=O)=O
FLURAZEPAM HYDROCHLORIDE,[H+].[H+].[Cl-].[Cl-].CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c3cc(Cl)ccc13
OSELTAMIVIR PHOSPHATE,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1.O[P](O)(O)=O
ELTROMBOPAG,CC1=C(N\N=C\2C=CC=C(C2=O)c3cccc(c3)C(O)=O)C(=O)N(N1)c4ccc(C)c(C)c4
CEPHALOTHIN SODIUM,[Na+].CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc3sccc3)C2=O)C([O-])=O
HALOFANTRINE HYDROCHLORIDE,[H+].[Cl-].CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c3cc(ccc13)C(F)(F)F
DOXAZOSIN MESYLATE,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4COc5ccccc5O4.C[S](O)(=O)=O
EMEDASTINE DIFUMARATE,CCOCCn1c2ccccc2nc1N3CCCN(C)CC3.OC(=O)\C=C\C(O)=O.OC(=O)\C=C\C(O)=O
GEMIFLOXACIN MESYLATE,CO\N=C1/CN(CC1CN)c2nc3N(C=C(C(O)=O)C(=O)c3cc2F)C4CC4.C[S](O)(=O)=O
FERRIC MALTOL,[Fe+3].C[C-]1OC=CC(=O)C1=O.C[C-]2OC=CC(=O)C2=O.C[C-]3OC=CC(=O)C3=O
DYDROGESTERONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C
CEFTIBUTEN DIHYDRATE,O.O.Nc1scc(n1)\C(=C\CC(O)=O)C(=O)N[C@H]2[C@H]3SCC=C(N3C2=O)C(O)=O
TESTOSTERONE PROPIONATE,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
LEVONORGESTREL,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
ILOPROST,CC#CCC(C)[C@H](O)/C=C/C1[C@H](O)C[C@@H]2CC(/C[C@H]12)=C\CCCC(O)=O
PROCHLORPERAZINE EDISYLATE,CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1.O[S](=O)(=O)CC[S](O)(=O)=O
DESOGESTREL,CC[C@]12CC(=C)[C@H]3[C@@H](CCC4=CCCC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
FENTANYL CITRATE,CCC(=O)N(C1CCN(CC1)CCc2ccccc2)c3ccccc3.OC(=O)CC(O)(CC(O)=O)C(O)=O
EPROSARTAN MESYLATE,CCCCc1ncc(\C=C(/Cc2sccc2)C(O)=O)n1Cc3ccc(cc3)C(O)=O.C[S](O)(=O)=O
CETIRIZINE HYDROCHLORIDE,[H+].[H+].[Cl-].[Cl-].OC(=O)COCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3
VITAMIN K,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O
OXYMORPHONE HYDROCHLORIDE,[Cl-].CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@]2(O)CCC4=O)c35.[H+]
AMLODIPINE MALEATE,CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C.OC(=O)\C=C/C(O)=O
QUINESTROL,C[C@]12CC[C@H]3[C@@H](CCc4cc(OC5CCCC5)ccc34)[C@@H]1CC[C@@]2(O)C#C
RIVASTIGMINE TARTRATE,CCN(C)C(=O)Oc1cccc(c1)[C@H](C)N(C)C.O[C@@H]([C@H](O)C(O)=O)C(O)=O
EZETIMIBE,O[C@@H](CC[C@@H]1[C@H](N(C1=O)c2ccc(F)cc2)c3ccc(O)cc3)c4ccc(F)cc4
BOSENTAN,COc1ccccc1Oc2c(N[S](=O)(=O)c3ccc(cc3)C(C)(C)C)nc(nc2OCCO)c4ncccn4
EPOPROSTENOL,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@@H]2OC(/C[C@H]12)=C\CCCC(O)=O
NORGESTREL,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
CEFTIZOXIME SODIUM,[Na+].CO\N=C(C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C([O-])=O)\c3csc(N)n3
MOXIFLOXACIN HYDROCHLORIDE,[H+].[Cl-].COc1c(N2CC3CCCNC3C2)c(F)cc4C(=O)C(=CN(C5CC5)c14)C(O)=O
VITAMIN E,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1
FOSPHENYTOIN SODIUM,[Na+].[Na+].[O-][P]([O-])(=O)OCN1C(=O)NC(C1=O)(c2ccccc2)c3ccccc3
DORZOLAMIDE HYDROCHLORIDE,[Cl-].CCN[C@@H]1C[C@@H](C)[S](=O)(=O)c2sc(cc12)[S](N)(=O)=O.[H+]
NORETHINDRONE,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
PENICILLIN V POTASSIUM,[K+].CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C([O-])=O
SPARFLOXACIN,C[C@H]1CN(C[C@@H](C)N1)c2c(F)c(N)c3C(=O)C(=CN(C4CC4)c3c2F)C(O)=O
MEGLUMINE METRIZOATE,CNCC(O)C(O)C(O)C(O)CO.CN(C(C)=O)c1c(I)c(NC(C)=O)c(I)c(C(O)=O)c1I
RALOXIFENE HYDROCHLORIDE,[H+].[Cl-].Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4
ZIPRASIDONE MESYLATE,O.O.O.C[S](O)(=O)=O.Clc1cc2NC(=O)Cc2cc1CCN3CCN(CC3)c4nsc5ccccc45
AMODIAQUINE HYDROCHLORIDE,[H+].[H+].O.O.[Cl-].[Cl-].CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O
ZANAMIVIR,CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O)N=C(N)N
GLIMEPIRIDE,CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)[S](=O)(=O)NC(=O)NC3CCC(C)CC3)C1=O
DRONEDARONE,CCCCN(CCCC)CCCOc1ccc(cc1)C(=O)c2c(CCCC)oc3ccc(N[S](C)(=O)=O)cc23
DIPHENOXYLATE HYDROCHLORIDE,[Cl-].CCOC(=O)C1(CC[NH+](CC1)CCC(C#N)(c2ccccc2)c3ccccc3)c4ccccc4
